我不知道为什么那么多人支持房产税，可能这些人会觉得，反正不会收到我头上，因为我没有房。而且也没有钱买房。其实没有房的是最受伤。人不能没有房子住，哪怕你是租房，当然乞丐和野人除外。1.有房的人首先受到冲击，特别是1套住房的人，因为你不大可能卖掉去租房。　　2.没有房的是最受伤，因为房东有多套房子，一定会把房产税转嫁给你，而当你真的忍了十年，有了钱也打算买房子时，又要征收你的房产税。　　3.不单止大城市的人，农村人也受伤，因为房产税会逐步推向全国，你们都跑不了。　　4.你老爸老妈受伤，他们唯一的房子还要征税。　　5.你子孙后代更受伤，房产税一开，以后子孙都受罪。　　　　当然有一类人不受伤，这就是XX，我想你们懂得XX是一群什么人。说实话我也是这个XX里的人，税多我工资也会涨，我不担心这个房产税。就拿个人所得税来说，我交的很少，但是你们逃不掉啊。不过我不愿意看到我父母和兄弟姐妹，以后的孩子要交这个税。我刚买了房，买一套房子交的税已经很多很多了。空军你们不要怨恨买房的人，大家都是被逼的，要怨就应该怨保障房没有建设到位，老百姓工资涨得实在太慢。　　　　本人认为房价必然也还会涨，但这个涨幅应该比老百姓的工资低一些，这是政府应该压制的。楼主发言：1次发图：0张|更多举报|分享|楼主|点赞
　　傻空小朋友们，多看看大鹏金翅明王关于房产税的评论吧，政府收税和黑社会收保护费，本质上是一样的！！！历来调控只靠税，羊毛出在羊身上，房价未降房租涨，反替官家填满仓。　　　　http://www.tianya.cn/publicforum/content/house/1/208732.shtml　举报|2楼|打赏|回复|评论|赞
　　自古未闻屎有税，而今只剩屁无捐。房产税是对富人罚100，对穷人罚90，富人多出那100无所谓，穷人多出那90可能终身就买不起房。实不相瞒，论坛上有很多衙门里派来的税托，专门鼓吹收税万岁的走狗。傻空都是受虐狂，哭喊着给官老爷上贡，搞笑不？中国人民是世界上唯一一个求着官府给自己加税的民族，这是为什么呢？因为官老爷承诺了“屁民多上贡能降物价”，哈哈哈！傻逼不？！傻空永远不知道，在这片土地上，最重的税往往是由最穷的人来负担，你们啥时候听说过给大米加税能让大米变便宜的好事？？！！想想过去吧：为降油价出台了燃油税、为保护股市调高了印花税、为爱护环境来了个污染税、为加强控烟力度提高了烟草税......哪一次不是打着“为民请命”的招牌出来抢钱？？！！这些税交上去只会供他们发年终奖，屁民根本没资格监督官老爷怎么花钱。收税的时候很积极，需要公共福利支出的时候，官府又开始哭穷。中国税负位居世界第二，看来傻空觉得税还不够多，傻逼，既然能承受，那就接着给你加。另外，收房产税工程浩大，一定会增加公务员队伍，等于是屁民花钱请来了更多的爷爷收自己的钱，好玩不？哇咔咔！！可能有脑残的傻空跳出来说：“反正我没房，我是一旁看热闹的”，真是不一般的脑残呀！房产税一出，商用房也要交税，那商铺里卖的米面油也会摊入税收成本，最终还是由普通消费者买单。就好比燃油税涨了，物流成本也就涨了，那么运给超市里的商品也就涨价了，你虽然没买车，但一样间接缴税。哦，差点忘了，燃油税出来后，傻空出门打出租的价格也会涨。税托一定会说什么“30平米以下减免”之类的谎话，且不说法理不通，难道你一辈子就把自己和儿女定位在“30平米以内”？你真伟大！都能把自己的后半生给定型了！那我要恭喜你，你可以不用交税了，你抱着你娃后半辈子就睡在30平米以内吧！我听说精神病人还知道往自己兜里顺东西，没见过往外掏的，傻空是个例外！敬告各位税托：在大陆，鉴定谁家房子有免税资格的权力是握在利益集团手中，官老爷可以判定自己的五套房都有资格享受免税，当然也可以判定你那唯一一套自住房必须交税，吼吼！~傻空还听不明白？因为这种权力是可以贴现的！你给官老爷多塞点钱，或许他会对你这唯一一套自住房高抬贵手，哈哈哈！顺便给“税收爱好者”做一个简单的普法教育：中华人民共和国房产税暂行条例根本没有免税条款，穷鬼目瞪口呆！统治阶级曾经打着节约用水的旗号提高了水价，也打着节约用电的旗号提高了电价，如今又打着降低房价的旗号来忽悠你们上税....他们想干什么，你们难道不知道？根本目的是想抽你们的血，然后全家移民米国享清福！说白就是以前卖地的钱花完了，地也拍的差不多了，公务员花天酒地没银子，于是就盘算着把卖过的地再刮一遍税。奴隶主剥削被奴隶，这一点我倒不是很惊讶，关键是奴隶们还三跪九叩山呼万岁，这倒颇具娱乐色彩。税托要是觉得平白无故给另一个阶级交钱多多益善，请参考个人所得税改革，看看如今是个什么下场，谢谢！~~别说我没提醒：大清朝万万税，到了乾隆加一倍。凡是嗜好缴税的傻空，我一般都支持，因为只有这样才能让当事人明白什么叫做“成年人要对自己的行为负责”！来自天涯社区客户端|举报|3楼|打赏|回复|评论|赞
"　　楼主,你说的,我们都明白,心里很明白.　　　　但是基本上是:有心无力.掌权者一定要吃奴隶们的肉，这是没办法的事。举报|5楼|打赏|回复|评论|赞"
　　政府就是只记得收税呀。　　举报|7楼|打赏|回复|评论|赞
　　作者：大侠杨过2010发表日期：2010-12-723:41:00　　1.有房的人首先受到冲击，特别是1套住房的人，因为你不大可能卖掉去租房。　　——————————————————————————————————　　中国的房产税有免税面积的，人均不会低于30平米。所以一套房基本上不交税。　　举报|8楼|打赏|回复|评论(1)|赞容静容静：举报?2017-02-2808:29:35?评论第一步先有免税面积，慢慢变成普遍收税，有了开头就会往下发展，真以为大老爷是为屁民做主的？醒醒吧我要评论
　　楼主你看看，像楼上海岛论剑这样的弱智税托太多，实在是没有办法救助，难怪李时珍在《本草纲目》中记载“故脑残无药可医也”！海岛论剑既然这么喜欢给领导上税，干脆把他自己的老婆也献上去，说不定能封个一官半职。举报|9楼|打赏|回复|评论|赞
　　作者：大侠杨过2010发表日期：2010-12-723:41:00　　4.你老爸老妈受伤，他们唯一的房子还要征税。　　————————————————————————　　同前，有免税面积，不需要交税。举报|13楼|打赏|回复|评论(1)|赞我闺女长大了：举报?2017-02-2500:41:58?评论评论海岛论剑：免尼玛的税，狗托我要评论
　　作者：大侠杨过2010发表日期：2010-12-723:41:00　　5.你子孙后代更受伤，房产税一开，以后子孙都受罪。　　————————————————————————　　儿孙自有儿孙福。　　举报|16楼|打赏|回复|评论(1)|赞容静容静：举报?2017-02-2808:31:51?评论大家都不肯为自己为子女争取权利，抗议侵害，子孙不过和你一样，被剥削被宰割，不要再自欺欺人了我要评论
　　作者：海岛论剑　回复日期：2010-12-08　09:56:30　　　　　　　作者：大侠杨过2010发表日期：2010-12-723:41:00　　　　1.有房的人首先受到冲击，特别是1套住房的人，因为你不大可能卖掉去租房。　　　　——————————————————————————————————　　　　中国的房产税有免税面积的，人均不会低于30平米。所以一套房基本上不交税。　　===========================================　　　　键盘政治局常委你好！我一直看到这里才看明白，原来海岛论剑自封为统治阶级，闹了半天免不免税，给谁免税的权力由您说了算数啊！真不简单，小小年纪就混进了利益集团，比我们这些没权没势的小老百姓要有出息多了。我代表全国屁民求您，请您跟主席说一声，把全国人民的税都免了吧！您要这么能耐，我给您立牌坊，保佑你下辈子投胎继续生在中国。举报|17楼|打赏|回复|评论|赞
　　3举报|21楼|打赏|回复|评论|赞
